participant_id,group,course_id,step_number,step_started_at,step_completed_at,time_on_task_seconds,attempts_code_runs,python_errors,progress_errors,help_requests,avg_hint_level,solved
P023,B,bmi-calculator,10,2025-12-27T22:09:59.359Z,2025-12-27T22:17:50.532Z,472,2,1,0,0,0,1
P023,B,bmi-calculator,11,2025-12-27T22:19:43.260Z,2025-12-27T22:27:59.848Z,497,3,2,0,1,1,1
P023,B,bmi-calculator,12,2025-12-27T22:35:05.900Z,2025-12-27T22:35:48.234Z,43,4,0,0,2,1.5,1
P024,B,bmi-calculator,1,2026-01-07T20:46:55.306Z,2026-01-07T20:47:52.510Z,57,1,0,0,0,0,1
P024,B,bmi-calculator,2,2026-01-07T20:48:21.174Z,2026-01-07T20:49:16.405Z,56,1,0,0,0,0,1
P024,B,bmi-calculator,3,2026-01-07T20:50:03.656Z,2026-01-07T20:51:05.944Z,63,1,0,0,0,0,1
P024,B,bmi-calculator,4,2026-01-07T20:51:48.619Z,2026-01-07T20:52:40.095Z,52,1,0,0,0,0,1
P024,B,bmi-calculator,5,2026-01-07T20:53:15.198Z,2026-01-07T20:54:49.938Z,95,1,0,0,0,0,1
P024,B,bmi-calculator,6,2026-01-07T20:56:07.797Z,2026-01-07T20:57:29.447Z,82,1,0,0,0,0,1
P024,B,bmi-calculator,7,2026-01-07T20:58:30.122Z,2026-01-07T20:59:07.617Z,38,1,0,0,0,0,1
P024,B,bmi-calculator,8,2026-01-07T21:00:15.219Z,2026-01-07T21:01:39.009Z,84,1,0,0,0,0,1
P024,B,bmi-calculator,9,2026-01-07T21:02:34.748Z,2026-01-07T21:04:25.863Z,112,1,0,0,0,0,1
P024,B,bmi-calculator,10,2026-01-07T21:05:15.331Z,2026-01-07T21:07:08.636Z,114,1,0,0,0,0,1
P024,B,bmi-calculator,11,2026-01-07T21:08:33.659Z,2026-01-07T21:14:12.833Z,340,4,0,0,0,0,1
P024,B,bmi-calculator,12,2026-01-07T21:15:41.721Z,2026-01-07T21:16:42.240Z,61,1,0,0,0,0,1
P024,B,interest-calculator,1,2026-01-12T17:56:10.391Z,2026-01-12T17:59:59.286Z,230,1,0,0,0,0,1
P024,B,interest-calculator,2,2026-01-12T18:00:54.824Z,2026-01-12T18:03:01.802Z,128,2,0,0,0,0,1
P024,B,interest-calculator,3,2026-01-12T19:01:11.955Z,,0,40,1,0,3,2,0
P025,A,bmi-calculator,1,2025-12-26T16:30:21.968Z,2025-12-26T16:32:22.567Z,122,1,0,0,0,0,1
P025,A,bmi-calculator,2,2025-12-26T16:33:07.177Z,2025-12-26T16:34:33.708Z,87,1,0,0,0,0,1
P025,A,bmi-calculator,3,2025-12-26T16:35:57.233Z,2025-12-26T16:37:40.789Z,104,1,0,0,0,0,1
P025,A,bmi-calculator,4,2025-12-26T16:38:42.209Z,2025-12-26T16:39:55.613Z,74,1,0,0,0,0,1
P025,A,bmi-calculator,5,2025-12-26T16:40:39.661Z,2025-12-26T16:43:06.963Z,148,2,0,0,0,0,1
P025,A,bmi-calculator,6,2025-12-26T16:45:07.597Z,2025-12-26T16:50:07.939Z,301,6,0,0,0,0,1
P025,A,bmi-calculator,7,2025-12-26T16:50:51.510Z,2025-12-26T16:51:54.001Z,63,1,0,0,0,0,1
